datetime,class_name,clustering_threshold,cluster_count
Sat Jun 24 15:29:17 2023,HTJ,0.99,117
Sat Jun 24 15:29:17 2023,TailFiber,0.99,105
Sat Jun 24 15:29:17 2023,Portal,0.99,115
Sat Jun 24 15:29:17 2023,Shaft,0.99,69
Sat Jun 24 15:29:17 2023,MinorTail,0.99,117
Sat Jun 24 15:29:17 2023,MinorCapsid,0.99,464
Sat Jun 24 15:29:17 2023,Baseplate,0.99,58
Sat Jun 24 15:29:17 2023,MajorCapsid,0.99,1172
Sat Jun 24 15:29:17 2023,MajorTail,0.99,287
Sat Jun 24 15:29:17 2023,Collar,0.99,18
Sat Jun 24 15:29:48 2023,HTJ,0.9,99
Sat Jun 24 15:29:48 2023,TailFiber,0.9,93
Sat Jun 24 15:29:48 2023,Portal,0.9,107
Sat Jun 24 15:29:48 2023,Shaft,0.9,63
Sat Jun 24 15:29:48 2023,MinorTail,0.9,38
Sat Jun 24 15:29:48 2023,MinorCapsid,0.9,328
Sat Jun 24 15:29:48 2023,Baseplate,0.9,56
Sat Jun 24 15:29:48 2023,MajorCapsid,0.9,734
Sat Jun 24 15:29:48 2023,MajorTail,0.9,209
Sat Jun 24 15:29:48 2023,Collar,0.9,16
Sat Jun 24 15:30:03 2023,HTJ,0.8,80
Sat Jun 24 15:30:03 2023,TailFiber,0.8,91
Sat Jun 24 15:30:03 2023,Portal,0.8,103
Sat Jun 24 15:30:03 2023,Shaft,0.8,62
Sat Jun 24 15:30:03 2023,MinorTail,0.8,28
Sat Jun 24 15:30:03 2023,MinorCapsid,0.8,241
Sat Jun 24 15:30:03 2023,Baseplate,0.8,56
Sat Jun 24 15:30:03 2023,MajorCapsid,0.8,571
Sat Jun 24 15:30:03 2023,MajorTail,0.8,121
Sat Jun 24 15:30:03 2023,Collar,0.8,16
Sat Jun 24 15:30:18 2023,HTJ,0.7,77
Sat Jun 24 15:30:18 2023,TailFiber,0.7,84
Sat Jun 24 15:30:18 2023,Portal,0.7,102
Sat Jun 24 15:30:18 2023,Shaft,0.7,61
Sat Jun 24 15:30:18 2023,MinorTail,0.7,26
Sat Jun 24 15:30:18 2023,MinorCapsid,0.7,199
Sat Jun 24 15:30:18 2023,Baseplate,0.7,55
Sat Jun 24 15:30:18 2023,MajorCapsid,0.7,496
Sat Jun 24 15:30:18 2023,MajorTail,0.7,87
Sat Jun 24 15:30:18 2023,Collar,0.7,15
Sat Jun 24 15:31:17 2023,HTJ,0.65,73
Sat Jun 24 15:31:17 2023,TailFiber,0.65,79
Sat Jun 24 15:31:17 2023,Portal,0.65,100
Sat Jun 24 15:31:17 2023,Shaft,0.65,60
Sat Jun 24 15:31:17 2023,MinorTail,0.65,26
Sat Jun 24 15:31:17 2023,MinorCapsid,0.65,180
Sat Jun 24 15:31:17 2023,Baseplate,0.65,55
Sat Jun 24 15:31:17 2023,MajorCapsid,0.65,455
Sat Jun 24 15:31:17 2023,MajorTail,0.65,81
Sat Jun 24 15:31:17 2023,Collar,0.65,13
